Perifocal Range,Perifocal Velocity,ECI Position,ECI_Velocity,ECF Position,ECF Velocity,Azimuth,Elevation,Rate of AZ,Rate of EL,Topocentric Range,Topocentric Reletive Velocity,Time,Satellite Name,Avilable for View TRUE=1,Signal Acquired,Signal Lost
"[20217.549999920164, -17090.112905239537, 0]","[2.5008965921864013, 2.9752271020468863, 0]","[4141.216969863372, 14792.304501417653, 21560.59685303173]","[-3.840327837657747, 0.3701825932218442, 0.47043280131214904]","[13728.202007526916, -6891.909756713254, 21560.59685303173]",[[-15036.17032819  22312.34159744 -19023.13282054]],-1.2890724395529176,0.5906763531634269,-199032631.5430673,0.638229673328608,[14594.46217056 -4223.95382452 10187.73205475],"[-14475.187645831102, 17826.97798107915, 2950.8795795175383]",2020-10-09 16:01:00,"GPS BIIR-2  (PRN 13)    
",0,0,0
"[3214.2894297433963, 26308.119856288704, 0]","[-3.845775280382151, 0.530804118297401, 0]","[15638.07481916522, -17845.280529083913, 11808.700423818944]","[2.8611958028649167, 0.7544316111318723, -2.5131916045126865]","[-20505.0154507728, -11939.336772831217, 11808.700423818944]",[[ 1705.8873879  -2533.44634024  2155.35488702]],0.6894765380261129,-0.006165035663081552,-84211533.00682661,-0.010157306955428937,[-20984.58655798 -25452.63187341   -203.37301613],"[1641.606580750363, -2021.8804363280476, -338.2523129373258]",2020-10-09 16:01:00,"GPS BIIR-3  (PRN 11)    
",0,0,0
"[3431.389969601469, 26317.777060612098, 0]","[-3.8414827753275946, 0.5222282581820014, 0]","[-16520.439907854183, -2740.71370196296, 20590.37105519018]","[-0.42133776922031063, -3.7672957963452687, -0.8122001808976232]","[467.10047294359583, 16739.721129496887, 20590.37105519018]",[[ 15153.42154186 -22485.19670689  19174.31330334]],0.9784066229874431,1.3736373518708402,122391622.32874674,-0.12428834742202687,[ 4404.84622131  2964.55937528 26580.43059296],"[14588.58073173272, -17967.23530679626, -2971.1064514019754]",2020-10-09 16:01:00,"GPS BIIR-4  (PRN 20)    
",1,0,0
"[-12984.841203541257, 23436.72852180503, 0]","[-3.3892035474341085, -1.8054143599433834, 0]","[-7857.237408312881, -24569.02751775518, 7246.588992565374]","[2.3667640187744228, 0.0658183117308846, 3.0232958383700006]","[-22614.532289830513, 12407.909661623748, 7246.588992565374]",[[ 25607.12402752 -37992.53757205  32399.0114325 ]],1.2355153870213484,0.5779085940394133,-801970181.8385863,0.040795962771037274,[-20591.27771583  -7174.74516161  14221.15309927],"[24652.783600332794, -30357.161445175832, -5019.653074616392]",2020-10-09 16:01:00,"GPS BIIR-5  (PRN 28)    
",1,0,0
"[-18808.23637051694, 19049.67497409075, 0]","[-2.7569323064924385, -2.677845615032145, 0]","[-15108.03997281524, 3114.332059710241, -21878.938182403035]","[-1.5084688437799763, -3.4986911515797283, 0.5051879390201399]","[5944.294304177475, 14234.370418941804, -21878.938182403035]",[[  9549.57538831 -14169.85669857  12085.62493693]],0.10954556858763527,-0.12882404203781658,369228353.547471,-0.0885424609947265,[ 3890.05442627 35368.67346903 -4609.33793414],"[9193.913568343218, -11324.218589036294, -1870.7996311236063]",2020-10-09 16:01:00,"GPS BIIR-8  (PRN 16)    
",0,0,0
"[-11304.001032154289, 24332.75463922743, 0]","[-3.513403905129812, -1.5392655507761992, 0]","[-19099.943785491472, 18523.968636537218, 3452.263172390026]","[-1.3283202445077535, -1.8254999711462117, 3.10104186036948]","[21832.807369399543, 15207.68848402156, 3452.263172390026]",[[ 442.34204697 -656.86859578  564.65237774]],0.6612102263305873,0.349189109230017,24721653.16390848,-0.0008494451909625768,[22966.5701661  29518.27044316 13617.86155892],"[426.4393600857366, -528.3288152098723, -83.67884956438841]",2020-10-09 16:01:00,"GPS BIIR-9  (PRN 21)    
",1,0,0
"[4885.748105530302, -26071.901682529544, 0]","[3.8076958506720966, 0.7405089606750781, 0]","[-12092.360122065142, -22871.856683875332, 5853.852612146617]","[1.7921195414420192, -1.684483227871104, -2.9996208120807837]","[-20139.250534541265, 16240.61542542103, 5853.852612146617]",[[ 27616.24755016 -40974.67404457  34936.75935222]],1.4708163364080196,0.7288795281484374,-632228813.9217491,0.25359532520005446,[-17857.65858677  -1791.3813972   16025.16106604],"[26586.310661383515, -32736.799661746918, -5417.351781412784]",2020-10-09 16:01:00,"GPS BIIR-10 (PRN 22)    
",1,0,0
"[18918.828985193795, -18394.80701416021, 0]","[2.700646210216328, 2.8126141018785895, 0]","[-20887.565224653947, -9137.603390892666, 13285.512354282046]","[2.4016648498778217, -1.6852851023655124, 2.568288946253581]","[-4977.258831867561, 22248.889214161285, 13285.512354282046]",[[ 23687.50034259 -35146.92599423  29972.22904278]],-0.15132821684660042,1.2647296066298064,147570569.66627052,0.16153106132827924,[-1214.97277536  7967.34558486 25504.909971  ],"[22804.651211255456, -28084.553142203615, -4643.769064435639]",2020-10-09 16:01:00,"GPS BIIR-11 (PRN 19)    
",0,0,0
"[-26729.44116707129, 4384.164351651234, 0]","[-0.6271377879624693, -3.7458651176371127, 0]","[-13913.499722593839, -7440.372113929025, 22016.796098475897]","[2.2417162940701196, -3.038978361635727, 0.40512449818706986]","[-4644.156833795476, 15079.00590315762, 22016.796098475897]",[[ 16803.11238537 -24935.05464194  21262.28914448]],0.2203689340107578,1.459766974620687,-59208314.54888644,-0.19023810662027768,[ -642.5924511  -2868.6287514  26368.07813148],"[16176.601290580416, -19924.994395469952, -3295.61482955963]",2020-10-09 16:01:00,"GPS BIIR-13 (PRN 02)    
",1,0,0
"[24921.85736618541, 8133.734665976509, 0]","[-1.2020336617426415, 3.7359931065715983, 0]","[-10506.318958567519, 12899.042729936, -20260.517584433233]","[-3.597275913700528, -1.0086336227676584, 1.2019956871992326]","[14669.19473302777, 7847.46884621917, -20260.517584433233]",[[-1824.72683225  2710.36104563 -2306.87182179]],0.31723719690272983,-0.20965237391589492,-89228902.05187431,0.01716514832460007,[11877.20008373 36175.02241667 -8101.54707212],"[-1756.0941197527911, 2163.991321425053, 361.17777394178944]",2020-10-09 16:01:00,"GPS BIIRM-1 (PRN 17)    
",0,0,0
